series_id,synth_control_type,p_value_<=0.05,p_value_<=0.1,R^2
130,NO_predictors,0,0,0.723031684
131,T_predictors,0,0,0.930904436
131,F_predictors,0,0,0.961519931
131,ALL_predictors,0,0,0.943213944
131,NO_predictors,0,0,0.885685099
132,T_predictors,0,1,0.774486838
132,F_predictors,0,0,0.610248855
132,ALL_predictors,0,0,0.774487212
132,NO_predictors,0,0,0.610497551
133,T_predictors,0,0,0.916387881
133,F_predictors,0,0,0.902536387
133,ALL_predictors,0,0,0.916387783
133,NO_predictors,0,0,0.768518309
134,T_predictors,0,0,0.915383462
134,F_predictors,0,0,0.864209666
134,ALL_predictors,0,0,0.91747961
134,NO_predictors,0,0,0.8589991
135,T_predictors,1,1,0.975383436
135,F_predictors,0,1,0.974667397
135,ALL_predictors,0,1,0.975625103
135,NO_predictors,0,0,0.959705009
136,T_predictors,0,0,0.974265556
136,F_predictors,0,0,0.959907688
136,ALL_predictors,0,0,0.974265537
136,NO_predictors,0,0,0.960360544
137,T_predictors,0,0,0.952206836
137,F_predictors,0,0,0.939112688
137,ALL_predictors,0,0,0.949208613
137,NO_predictors,0,0,0.873232802
138,T_predictors,0,0,0.952220963
138,F_predictors,0,0,0.89403016
138,ALL_predictors,0,0,0.95395431
138,NO_predictors,0,0,0.854082549
139,T_predictors,1,1,0.779609478
139,F_predictors,0,0,0.79881208
139,ALL_predictors,0,0,0.810153044
139,NO_predictors,0,0,0.715847597
140,T_predictors,0,0,0.804269
140,F_predictors,1,1,0.779670385
140,ALL_predictors,0,0,0.804269093
140,NO_predictors,0,0,0.77499794
141,T_predictors,0,0,0.681491573
141,F_predictors,0,0,0.679882165
141,ALL_predictors,0,0,0.680439403
141,NO_predictors,0,0,0.431104349
142,T_predictors,0,0,0.990972478
142,F_predictors,0,0,0.987294857
142,ALL_predictors,0,0,0.990857322
142,NO_predictors,0,0,0.988138635
143,T_predictors,0,0,0.897160259
143,F_predictors,0,0,0.901345198
143,ALL_predictors,0,0,0.902465881
143,NO_predictors,0,0,0.156347867
144,T_predictors,0,0,0.90248159
144,F_predictors,0,0,0.89069426
144,ALL_predictors,0,0,0.902968582
144,NO_predictors,0,0,0.86807999
145,T_predictors,0,0,0.883151435
145,F_predictors,0,0,0.558285611
145,ALL_predictors,0,0,0.89224972
145,NO_predictors,0,0,0.465500408
146,T_predictors,0,0,0.888586926
146,F_predictors,0,0,0.814421686
146,ALL_predictors,0,0,0.88628006
146,NO_predictors,1,1,0.768016087
147,T_predictors,1,1,0.980457266
147,F_predictors,1,1,0.978000453
147,ALL_predictors,1,1,0.97968391
147,NO_predictors,0,1,0.974370162
