series_id,"synth_control_type","p_value_<=0.05","p_value_<=0.1","R^2"
70,"ALL_predictors",0,1,0.852551106620844
70,"NO_predictors",0,1,0.599828973207865
71,"T_predictors",0,0,0.979488067796173
71,"F_predictors",0,0,NA
71,"ALL_predictors",0,0,0.97976625289736
71,"NO_predictors",0,0,0.977916718277443
72,"T_predictors",1,1,0.912420858545886
72,"F_predictors",1,1,0.924937755174224
72,"ALL_predictors",1,1,0.922387106500893
72,"NO_predictors",1,1,0.891181122054078
73,"T_predictors",0,0,0.973965556292036
73,"F_predictors",0,0,0.95961122266231
73,"ALL_predictors",0,0,0.974177061188878
73,"NO_predictors",0,0,0.952779804403036
74,"T_predictors",0,0,0.91947971557821
74,"F_predictors",0,0,0.910783380461681
74,"ALL_predictors",0,0,0.919482677217287
74,"NO_predictors",0,0,0.599295278643565
75,"T_predictors",0,0,0.79976783849137
75,"F_predictors",0,0,0.797777634120307
75,"ALL_predictors",0,0,0.816407489445269
75,"NO_predictors",0,0,0.692823169081093
76,"T_predictors",0,0,0.957217234833278
76,"F_predictors",1,1,0.948851402766151
76,"ALL_predictors",1,1,0.957274350348981
76,"NO_predictors",0,0,0.955286528146663
77,"T_predictors",0,0,0.888109620131718
77,"F_predictors",0,0,0.738689747374339
77,"ALL_predictors",0,0,0.890002977611518
77,"NO_predictors",0,0,0.669100472000948
78,"T_predictors",0,0,0.984610558775863
78,"F_predictors",0,0,0.984589079197903
78,"ALL_predictors",0,0,0.987667759449348
78,"NO_predictors",0,0,0.987338218391296
79,"T_predictors",0,0,0.938918533416722
79,"F_predictors",0,0,0.773131688535246
79,"ALL_predictors",0,0,0.933989925360787
79,"NO_predictors",0,0,0.669403535894846
80,"T_predictors",0,0,0.98586910698226
80,"F_predictors",0,0,0.984584661340467
80,"ALL_predictors",0,0,0.992757015676815
80,"NO_predictors",0,0,0.596368099429426
81,"T_predictors",0,0,0.862663835103836
81,"F_predictors",0,0,0.85604396558961
81,"ALL_predictors",0,0,0.861844566191593
81,"NO_predictors",0,0,0.849126113504253
82,"T_predictors",0,0,0.578884848280052
